SIMULACION1,1,1000,21.072858286953142,19.307870602146696,22.837845971759588,0

SIMULACION2,1,5000,21.722089994350764,20.875970707885337,22.56820928081619,11

SIMULACION3,1,10000,21.547689484269345,20.95218750316751,22.143191465371178,10

SIMULACION4,1,50000,21.57133781160058,21.304741603604512,21.837934019596645,20

SIMULACION5,1,100000,21.626488004524614,21.437776483338226,21.815199525711,55

BCOLOMBIA,1,1000,3643.4467145574986,3497.3157726127374,3789.5776565022597,1

BOGOTA,1,5000,10830.7308848025,10806.28098882926,10855.180780775741,2

BVC,1,10000,3.9520576835232104,3.9465098183711866,3.957605548675234,4

CELSIA,1,50000,957.4415451935427,955.5086021871986,959.3744881998867,16

ECOPETROL,1,100000,240.0100425482452,239.62830893747565,240.39177615901474,51
