SIMULACION1 , 1 , 1000 , 100 , 21.072858286953142 , 19.307 , 22.837 , 132
SIMULACION2 , 1 , 5000 , 100 , 21.722089994350764 , 20.875 , 22.568 , 552
SIMULACION3 , 1 , 10000 , 100 , 21.547689484269345 , 20.952 , 22.143 , 1075
SIMULACION4 , 1 , 50000 , 100 , 21.57133781160058 , 21.304 , 21.837 , 5353
SIMULACION5 , 1 , 100000 , 100 , 21.626488004524614 , 21.437 , 21.815 , 10238
BCOLOMBIA , 1 , 1000 , 25000 , 3643.4467145574986 , 3497.3 , 3789.5 , 121
BOGOTA , 1 , 5000 , 60000 , 10830.7308848025 , 10806.0 , 10855.0 , 574
BVC , 1 , 10000 , 16 , 3.9520576835232104 , 3.9465 , 3.9576 , 1099
CELSIA , 1 , 50000 , 3500 , 957.4415451935427 , 955.5 , 959.37 , 5449
ECOPETROL , 1 , 100000 , 1300 , 240.0100425482452 , 239.62 , 240.39 , 10882SIMULACION1 , 1 , 1000 , 100 , 21.072858286953142 , 19.307 , 22.837 , 42SIMULACION2 , 1 , 5000 , 100 , 21.722089994350764 , 20.875 , 22.568 , 192SIMULACION3 , 1 , 10000 , 100 , 21.55667396289981 , 20.961 , 22.152 , 383SIMULACION4 , 1 , 50000 , 100 , 21.56491161121181 , 21.298 , 21.831 , 1853SIMULACION5 , 1 , 100000 , 100 , 21.63047269519244 , 21.441 , 21.819 , 3714BCOLOMBIA , 1 , 1000 , 25000 , 3564.215058901774 , 3415.5 , 3712.8 , 42BOGOTA , 1 , 5000 , 60000 , 10646.025014100478 , 10605.0 , 10686.0 , 185BVC , 1 , 10000 , 16 , 85.37063129235665 , 66.83 , 103.91 , 378CELSIA , 1 , 50000 , 3500 , 954.1417632448398 , 952.15 , 956.13 , 1865ECOPETROL , 1 , 100000 , 1300 , 240.85295898110058 , 240.43 , 241.26 , 3738
