SIMULACION1 , 1 , 1000 , 100 , 21.072858286953146 , 19.307 , 22.837 , 47
SIMULACION2 , 1 , 5000 , 100 , 21.553534003010938 , 20.711 , 22.395 , 190
SIMULACION3 , 1 , 10000 , 100 , 21.564332502730565 , 20.968 , 22.159 , 377
SIMULACION4 , 1 , 50000 , 100 , 21.575681314201034 , 21.309 , 21.842 , 1864
SIMULACION5 , 1 , 100000 , 100 , 21.631012946948783 , 21.442 , 21.819 , 3693
BCOLOMBIA , 1 , 1000 , 25000 , 3632.201280549698 , 3485.5 , 3778.9 , 42
BOGOTA , 1 , 5000 , 60000 , 10674.004329706393 , 10635.0 , 10712.0 , 189
BVC , 1 , 10000 , 16 , 120.43992433228271 , 98.206 , 142.67 , 364
CELSIA , 1 , 50000 , 3500 , 957.3587656608732 , 955.42 , 959.29 , 1868
ECOPETROL , 1 , 100000 , 1300 , 240.03250399872982 , 239.65 , 240.41 , 3733
